0.234 s |  Acceleration:  3.01439 m/s^2 | Velocity:  1.15757 m/s
0.235 s |  Acceleration:  2.99759 m/s^2 | Velocity:  1.16057 m/s
0.236 s |  Acceleration:  2.98084 m/s^2 | Velocity:  1.16355 m/s
0.237 s |  Acceleration:  2.96414 m/s^2 | Velocity:  1.16652 m/s
0.238 s |  Acceleration:  2.94749 m/s^2 | Velocity:  1.16946 m/s
0.239 s |  Acceleration:  2.9309 m/s^2 | Velocity:  1.17239 m/s
0.24 s |  Acceleration:  2.91435 m/s^2 | Velocity:  1.17531 m/s
0.241 s |  Acceleration:  2.89786 m/s^2 | Velocity:  1.17821 m/s
0.242 s |  Acceleration:  2.88142 m/s^2 | Velocity:  1.18109 m/s
0.243 s |  Acceleration:  2.86504 m/s^2 | Velocity:  1.18395 m/s
0.244 s |  Acceleration:  2.8487 m/s^2 | Velocity:  1.1868 m/s
0.245 s |  Acceleration:  2.83242 m/s^2 | Velocity:  1.18963 m/s
0.246 s |  Acceleration:  2.8162 m/s^2 | Velocity:  1.19245 m/s
0.247 s |  Acceleration:  2.80003 m/s^2 | Velocity:  1.19525 m/s
0.248 s |  Acceleration:  2.78392 m/s^2 | Velocity:  1.19803 m/s
0.249 s |  Acceleration:  2.76786 m/s^2 | Velocity:  1.2008 m/s
0.25 s |  Acceleration:  2.75185 m/s^2 | Velocity:  1.20355 m/s
0.251 s |  Acceleration:  2.73591 m/s^2 | Velocity:  1.20629 m/s
0.252 s |  Acceleration:  2.72001 m/s^2 | Velocity:  1.20901 m/s
0.253 s |  Acceleration:  2.70418 m/s^2 | Velocity:  1.21171 m/s
0.254 s |  Acceleration:  2.6884 m/s^2 | Velocity:  1.2144 m/s
0.255 s |  Acceleration:  2.67268 m/s^2 | Velocity:  1.21708 m/s
0.256 s |  Acceleration:  2.65702 m/s^2 | Velocity:  1.21973 m/s
0.257 s |  Acceleration:  2.64141 m/s^2 | Velocity:  1.22237 m/s
0.258 s |  Acceleration:  2.62586 m/s^2 | Velocity:  1.225 m/s
0.259 s |  Acceleration:  2.61037 m/s^2 | Velocity:  1.22761 m/s
0.26 s |  Acceleration:  2.59494 m/s^2 | Velocity:  1.23021 m/s
0.261 s |  Acceleration:  2.57957 m/s^2 | Velocity:  1.23278 m/s
0.262 s |  Acceleration:  2.56425 m/s^2 | Velocity:  1.23535 m/s
0.263 s |  Acceleration:  2.549 m/s^2 | Velocity:  1.2379 m/s
0.264 s |  Acceleration:  2.5338 m/s^2 | Velocity:  1.24043 m/s
0.265 s |  Acceleration:  2.51867 m/s^2 | Velocity:  1.24295 m/s
0.266 s |  Acceleration:  2.50359 m/s^2 | Velocity:  1.24545 m/s
0.267 s |  Acceleration:  2.48858 m/s^2 | Velocity:  1.24794 m/s
0.268 s |  Acceleration:  2.47362 m/s^2 | Velocity:  1.25042 m/s
0.269 s |  Acceleration:  2.45872 m/s^2 | Velocity:  1.25288 m/s
0.27 s |  Acceleration:  2.44389 m/s^2 | Velocity:  1.25532 m/s
